Date,Volume(),Change,Close
2/20/2020,34.57,1.84,3030
2/19/2020,31.51,-0.32,2975
2/18/2020,31.17,0.05,2985
2/17/2020,31.32,2.28,2984
2/14/2020,25.07,0.38,2917
2/13/2020,27.48,-0.71,2906
2/12/2020,24.87,0.87,2927
2/11/2020,26.92,0.39,2902
2/10/2020,29.49,0.51,2890
2/7/2020,30.95,0.33,2876
2/6/2020,31.64,1.72,2867
2/5/2020,30.98,1.25,2818
2/4/2020,36.4,1.34,2783
2/3/2020,21.59,-7.72,2747
1/23/2020,27.28,-2.75,2977
1/22/2020,22.39,0.28,3061
1/21/2020,23.48,-1.41,3052
1/20/2020,21.05,0.66,3096
1/17/2020,19.03,0.05,3076
1/16/2020,20.34,-0.52,3074
1/15/2020,20.23,-0.54,3090
1/14/2020,23,-0.28,3107
1/13/2020,21.06,0.75,3116
1/10/2020,21.04,-0.08,3092
1/9/2020,24.34,0.91,3095
1/8/2020,29.79,-1.22,3067
1/7/2020,27.66,0.69,3105
1/6/2020,31.26,-0.01,3083
1/3/2020,26.15,-0.05,3084
1/2/2020,29.25,1.15,3085
12/31/2019,21.74,0.33,3050
12/30/2019,24.81,1.16,3040
12/27/2019,24.71,-0.08,3005
12/26/2019,18.24,0.85,3007
12/25/2019,17.57,-0.03,2982
12/24/2019,16.3,0.67,2983
12/23/2019,20.57,-1.4,2963
12/20/2019,21.51,-0.4,3005
12/19/2019,20.86,0,3017
12/18/2019,24.41,-0.18,3017
12/17/2019,29.3,1.27,3022
12/16/2019,21.19,0.56,2984
12/13/2019,21.2,1.78,2968
12/12/2019,15.18,-0.3,2916
12/11/2019,16.55,0.24,2924
12/10/2019,17.01,0.1,2917
12/9/2019,16.08,0.08,2914
12/6/2019,13.41,0.43,2912
12/5/2019,14.32,0.74,2899
12/4/2019,12.55,-0.23,2878
12/3/2019,12.38,0.31,2885
12/2/2019,12.88,0.13,2876
11/29/2019,12.26,-0.61,2872
11/28/2019,11.95,-0.47,2890
11/27/2019,13.39,-0.13,2903
11/26/2019,17,0.03,2907
11/25/2019,17.86,0.72,2906
11/22/2019,15.86,-0.63,2885
11/21/2019,12.35,-0.25,2904
11/20/2019,13.74,-0.78,2911
11/19/2019,13.54,0.85,2934
11/18/2019,12.44,0.62,2909
11/15/2019,13.55,-0.64,2891
11/14/2019,12.91,0.16,2910
11/13/2019,12.98,-0.33,2905
11/12/2019,12.97,0.17,2915
11/11/2019,15.79,-1.83,2910
11/8/2019,14.97,-0.49,2964
11/7/2019,13.7,0,2979
11/6/2019,16.53,-0.43,2979
11/5/2019,17.99,0.54,2992
11/4/2019,16.72,0.58,2975
11/1/2019,15.99,0.99,2958
10/31/2019,16.16,-0.35,2929
10/30/2019,15.88,-0.5,2939
10/29/2019,16.61,-0.87,2954
10/28/2019,17.37,0.85,2980
10/25/2019,13.69,0.48,2955
10/24/2019,12.65,-0.02,2941
10/23/2019,12.38,-0.43,2942
10/22/2019,11.75,0.5,2954
10/21/2019,13.25,0.05,2940
10/18/2019,15,-1.32,2938
10/17/2019,12.25,-0.05,2977
10/16/2019,14.99,-0.41,2979
10/15/2019,15.54,-0.56,2991
10/14/2019,20.86,1.15,3008
10/11/2019,16.12,0.88,2974
10/10/2019,13.42,0.78,2948
10/9/2019,13.04,0.39,2925
10/8/2019,12.55,0.29,2914
9/30/2019,11.66,-0.92,2905
9/27/2019,13.29,0.11,2932
9/26/2019,18.89,-0.89,2929
9/25/2019,16.85,-1,2955
9/24/2019,16.39,0.28,2985
9/23/2019,16.81,-0.98,2977
9/20/2019,18.21,0.24,3006
9/19/2019,16.27,0.46,2999
9/18/2019,16.8,0.25,2986
9/17/2019,22.33,-1.74,2978
9/16/2019,22.19,-0.02,3031
9/12/2019,19.7,0.75,3031
9/11/2019,22.98,-0.41,3009
9/10/2019,24,-0.12,3021
9/9/2019,24.34,0.84,3025
9/6/2019,21.68,0.46,3000
9/5/2019,30.54,0.96,2986
9/4/2019,22.55,0.93,2957
