Date,AQI,Year,Month,Day,Levels
1/1/2019,62,2019,1,1,2
1/2/2019,80,2019,1,2,2
1/3/2019,95,2019,1,3,2
1/4/2019,122,2019,1,4,3
1/5/2019,214,2019,1,5,5
1/6/2019,213,2019,1,6,5
1/7/2019,153,2019,1,7,4
1/8/2019,117,2019,1,8,3
1/9/2019,54,2019,1,9,2
1/10/2019,49,2019,1,10,1
1/11/2019,92,2019,1,11,2
1/12/2019,139,2019,1,12,3
1/13/2019,143,2019,1,13,3
1/14/2019,109,2019,1,14,3
1/15/2019,143,2019,1,15,3
1/16/2019,76,2019,1,16,2
1/17/2019,130,2019,1,17,3
1/18/2019,133,2019,1,18,3
1/19/2019,125,2019,1,19,3
1/20/2019,188,2019,1,20,4
1/21/2019,173,2019,1,21,4
1/22/2019,144,2019,1,22,3
1/23/2019,108,2019,1,23,3
1/24/2019,109,2019,1,24,3
1/25/2019,175,2019,1,25,4
1/26/2019,198,2019,1,26,4
1/27/2019,94,2019,1,27,2
1/28/2019,170,2019,1,28,4
1/29/2019,118,2019,1,29,3
1/30/2019,60,2019,1,30,2
1/31/2019,74,2019,1,31,2
2/1/2019,105,2019,2,1,3
2/2/2019,75,2019,2,2,2
2/3/2019,98,2019,2,3,2
2/4/2019,150,2019,2,4,3
2/5/2019,142,2019,2,5,3
2/6/2019,94,2019,2,6,2
2/7/2019,135,2019,2,7,3
2/8/2019,28,2019,2,8,1
2/9/2019,49,2019,2,9,1
2/10/2019,73,2019,2,10,2
2/11/2019,97,2019,2,11,2
2/12/2019,55,2019,2,12,2
2/13/2019,79,2019,2,13,2
2/14/2019,42,2019,2,14,1
2/15/2019,58,2019,2,15,2
2/16/2019,94,2019,2,16,2
2/17/2019,95,2019,2,17,2
2/18/2019,65,2019,2,18,2
2/19/2019,88,2019,2,19,2
2/20/2019,124,2019,2,20,3
2/21/2019,105,2019,2,21,3
2/22/2019,62,2019,2,22,2
2/23/2019,74,2019,2,23,2
2/24/2019,84,2019,2,24,2
2/25/2019,104,2019,2,25,3
2/26/2019,156,2019,2,26,4
2/27/2019,50,2019,2,27,1
2/28/2019,57,2019,2,28,2
3/1/2019,52,2019,3,1,2
3/2/2019,63,2019,3,2,2
3/3/2019,72,2019,3,3,2
3/4/2019,72,2019,3,4,2
3/5/2019,55,2019,3,5,2
3/6/2019,68,2019,3,6,2
3/7/2019,63,2019,3,7,2
3/8/2019,84,2019,3,8,2
3/9/2019,100,2019,3,9,2
3/10/2019,100,2019,3,10,2
3/11/2019,102,2019,3,11,3
3/12/2019,101,2019,3,12,3
3/13/2019,93,2019,3,13,2
3/14/2019,67,2019,3,14,2
3/15/2019,95,2019,3,15,2
3/16/2019,94,2019,3,16,2
3/17/2019,90,2019,3,17,2
3/18/2019,69,2019,3,18,2
3/19/2019,70,2019,3,19,2
3/20/2019,60,2019,3,20,2
3/21/2019,69,2019,3,21,2
3/22/2019,44,2019,3,22,1
3/23/2019,63,2019,3,23,2
3/24/2019,77,2019,3,24,2
3/25/2019,54,2019,3,25,2
3/26/2019,74,2019,3,26,2
3/27/2019,73,2019,3,27,2
3/28/2019,79,2019,3,28,2
3/29/2019,85,2019,3,29,2
3/30/2019,86,2019,3,30,2
3/31/2019,58,2019,3,31,2
4/1/2019,84,2019,4,1,2
4/2/2019,69,2019,4,2,2
4/3/2019,70,2019,4,3,2
4/4/2019,82,2019,4,4,2
4/5/2019,56,2019,4,5,2
4/6/2019,82,2019,4,6,2
4/7/2019,90,2019,4,7,2
4/8/2019,76,2019,4,8,2
4/9/2019,41,2019,4,9,1
4/10/2019,40,2019,4,10,1
4/11/2019,51,2019,4,11,2
4/12/2019,71,2019,4,12,2
4/13/2019,77,2019,4,13,2
4/14/2019,63,2019,4,14,2
4/15/2019,95,2019,4,15,2
4/16/2019,60,2019,4,16,2
4/17/2019,80,2019,4,17,2
4/18/2019,71,2019,4,18,2
4/19/2019,75,2019,4,19,2
4/20/2019,109,2019,4,20,3
4/21/2019,55,2019,4,21,2
4/22/2019,79,2019,4,22,2
4/23/2019,60,2019,4,23,2
4/24/2019,134,2019,4,24,3
4/25/2019,75,2019,4,25,2
4/26/2019,52,2019,4,26,2
4/27/2019,51,2019,4,27,2
4/28/2019,35,2019,4,28,1
4/29/2019,33,2019,4,29,1
4/30/2019,74,2019,4,30,2
5/1/2019,79,2019,5,1,2
5/2/2019,96,2019,5,2,2
5/3/2019,128,2019,5,3,3
5/4/2019,106,2019,5,4,3
5/5/2019,85,2019,5,5,2
5/6/2019,64,2019,5,6,2
5/7/2019,54,2019,5,7,2
5/8/2019,95,2019,5,8,2
5/9/2019,92,2019,5,9,2
5/10/2019,120,2019,5,10,3
5/11/2019,135,2019,5,11,3
5/12/2019,98,2019,5,12,2
5/13/2019,112,2019,5,13,3
5/14/2019,110,2019,5,14,3
5/15/2019,45,2019,5,15,1
5/16/2019,65,2019,5,16,2
5/17/2019,65,2019,5,17,2
5/18/2019,81,2019,5,18,2
5/19/2019,45,2019,5,19,1
5/20/2019,78,2019,5,20,2
5/21/2019,78,2019,5,21,2
5/22/2019,97,2019,5,22,2
5/23/2019,137,2019,5,23,3
5/24/2019,81,2019,5,24,2
5/25/2019,47,2019,5,25,1
5/26/2019,63,2019,5,26,2
5/27/2019,79,2019,5,27,2
5/28/2019,82,2019,5,28,2
5/29/2019,65,2019,5,29,2
5/30/2019,49,2019,5,30,1
5/31/2019,113,2019,5,31,3
6/1/2019,106,2019,6,1,3
6/2/2019,96,2019,6,2,2
6/3/2019,102,2019,6,3,3
6/4/2019,108,2019,6,4,3
6/5/2019,76,2019,6,5,2
6/6/2019,80,2019,6,6,2
6/7/2019,131,2019,6,7,3
6/8/2019,96,2019,6,8,2
6/9/2019,112,2019,6,9,3
6/10/2019,101,2019,6,10,3
6/11/2019,121,2019,6,11,3
6/12/2019,91,2019,6,12,2
6/13/2019,95,2019,6,13,2
6/14/2019,141,2019,6,14,3
6/15/2019,130,2019,6,15,3
6/16/2019,55,2019,6,16,2
6/17/2019,38,2019,6,17,1
6/18/2019,48,2019,6,18,1
6/19/2019,43,2019,6,19,1
6/20/2019,54,2019,6,20,2
6/21/2019,26,2019,6,21,1
6/22/2019,51,2019,6,22,2
6/23/2019,103,2019,6,23,3
6/24/2019,137,2019,6,24,3
6/25/2019,128,2019,6,25,3
6/26/2019,132,2019,6,26,3
6/27/2019,102,2019,6,27,3
6/28/2019,54,2019,6,28,2
6/29/2019,55,2019,6,29,2
6/30/2019,88,2019,6,30,2
7/1/2019,97,2019,7,1,2
7/2/2019,160,2019,7,2,4
7/3/2019,132,2019,7,3,3
7/4/2019,59,2019,7,4,2
7/5/2019,69,2019,7,5,2
7/6/2019,61,2019,7,6,2
7/7/2019,110,2019,7,7,3
7/8/2019,80,2019,7,8,2
7/9/2019,44,2019,7,9,1
7/10/2019,90,2019,7,10,2
7/11/2019,92,2019,7,11,2
7/12/2019,39,2019,7,12,1
7/13/2019,64,2019,7,13,2
7/14/2019,100,2019,7,14,2
7/15/2019,86,2019,7,15,2
7/16/2019,85,2019,7,16,2
7/17/2019,53,2019,7,17,2
7/18/2019,45,2019,7,18,1
7/19/2019,51,2019,7,19,2
7/20/2019,122,2019,7,20,3
7/21/2019,99,2019,7,21,2
7/22/2019,65,2019,7,22,2
7/23/2019,49,2019,7,23,1
7/24/2019,67,2019,7,24,2
7/25/2019,57,2019,7,25,2
7/26/2019,57,2019,7,26,2
7/27/2019,56,2019,7,27,2
7/28/2019,52,2019,7,28,2
7/29/2019,56,2019,7,29,2
7/30/2019,51,2019,7,30,2
7/31/2019,74,2019,7,31,2
8/1/2019,73,2019,8,1,2
8/2/2019,51,2019,8,2,2
8/3/2019,75,2019,8,3,2
8/4/2019,122,2019,8,4,3
8/5/2019,105,2019,8,5,3
8/6/2019,108,2019,8,6,3
8/7/2019,82,2019,8,7,2
8/8/2019,83,2019,8,8,2
8/9/2019,69,2019,8,9,2
8/10/2019,35,2019,8,10,1
8/11/2019,67,2019,8,11,2
8/12/2019,95,2019,8,12,2
8/13/2019,124,2019,8,13,3
8/14/2019,113,2019,8,14,3
8/15/2019,103,2019,8,15,3
8/16/2019,104,2019,8,16,3
8/17/2019,168,2019,8,17,4
8/18/2019,135,2019,8,18,3
8/19/2019,133,2019,8,19,3
8/20/2019,171,2019,8,20,4
8/21/2019,125,2019,8,21,3
8/22/2019,104,2019,8,22,3
8/23/2019,133,2019,8,23,3
8/24/2019,145,2019,8,24,3
8/25/2019,126,2019,8,25,3
8/26/2019,65,2019,8,26,2
8/27/2019,55,2019,8,27,2
8/28/2019,47,2019,8,28,1
8/29/2019,121,2019,8,29,3
8/30/2019,98,2019,8,30,2
8/31/2019,73,2019,8,31,2
9/1/2019,57,2019,9,1,2
9/2/2019,100,2019,9,2,2
9/3/2019,74,2019,9,3,2
9/4/2019,91,2019,9,4,2
9/5/2019,124,2019,9,5,3
9/6/2019,95,2019,9,6,2
9/7/2019,116,2019,9,7,3
9/8/2019,139,2019,9,8,3
9/9/2019,152,2019,9,9,4
9/10/2019,148,2019,9,10,3
9/11/2019,157,2019,9,11,4
9/12/2019,157,2019,9,12,4
9/13/2019,150,2019,9,13,3
9/14/2019,77,2019,9,14,2
9/15/2019,67,2019,9,15,2
9/16/2019,50,2019,9,16,1
9/17/2019,47,2019,9,17,1
9/18/2019,49,2019,9,18,1
9/19/2019,110,2019,9,19,3
9/20/2019,68,2019,9,20,2
9/21/2019,89,2019,9,21,2
9/22/2019,91,2019,9,22,2
9/23/2019,96,2019,9,23,2
9/24/2019,101,2019,9,24,3
9/25/2019,103,2019,9,25,3
9/26/2019,105,2019,9,26,3
9/27/2019,97,2019,9,27,2
9/28/2019,132,2019,9,28,3
9/29/2019,140,2019,9,29,3
9/30/2019,130,2019,9,30,3
10/1/2019,130,2019,10,1,3
10/2/2019,107,2019,10,2,3
10/3/2019,124,2019,10,3,3
10/4/2019,151,2019,10,4,4
10/5/2019,50,2019,10,5,1
10/6/2019,29,2019,10,6,1
10/7/2019,38,2019,10,7,1
10/8/2019,38,2019,10,8,1
10/9/2019,51,2019,10,9,2
10/10/2019,58,2019,10,10,2
10/11/2019,38,2019,10,11,1
10/12/2019,49,2019,10,12,1
10/13/2019,39,2019,10,13,1
10/14/2019,54,2019,10,14,2
10/15/2019,61,2019,10,15,2
10/16/2019,33,2019,10,16,1
10/17/2019,54,2019,10,17,2
10/18/2019,80,2019,10,18,2
10/19/2019,85,2019,10,19,2
10/20/2019,90,2019,10,20,2
10/21/2019,95,2019,10,21,2
10/22/2019,59,2019,10,22,2
10/23/2019,55,2019,10,23,2
10/24/2019,64,2019,10,24,2
10/25/2019,44,2019,10,25,1
10/26/2019,49,2019,10,26,1
10/27/2019,52,2019,10,27,2
10/28/2019,54,2019,10,28,2
10/29/2019,78,2019,10,29,2
10/30/2019,99,2019,10,30,2
10/31/2019,106,2019,10,31,3
11/1/2019,107,2019,11,1,3
11/2/2019,103,2019,11,2,3
11/3/2019,94,2019,11,3,2
11/4/2019,102,2019,11,4,3
11/5/2019,83,2019,11,5,2
11/6/2019,72,2019,11,6,2
11/7/2019,73,2019,11,7,2
11/8/2019,88,2019,11,8,2
11/9/2019,102,2019,11,9,3
11/10/2019,92,2019,11,10,2
11/11/2019,100,2019,11,11,2
11/12/2019,64,2019,11,12,2
11/13/2019,54,2019,11,13,2
11/14/2019,73,2019,11,14,2
11/15/2019,93,2019,11,15,2
11/16/2019,109,2019,11,16,3
11/17/2019,102,2019,11,17,3
11/18/2019,60,2019,11,18,2
11/19/2019,73,2019,11,19,2
11/20/2019,80,2019,11,20,2
11/21/2019,101,2019,11,21,3
11/22/2019,105,2019,11,22,3
11/23/2019,108,2019,11,23,3
11/24/2019,113,2019,11,24,3
11/25/2019,25,2019,11,25,1
11/26/2019,39,2019,11,26,1
11/27/2019,33,2019,11,27,1
11/28/2019,88,2019,11,28,2
11/29/2019,55,2019,11,29,2
11/30/2019,64,2019,11,30,2
12/1/2019,92,2019,12,1,2
12/2/2019,83,2019,12,2,2
12/3/2019,105,2019,12,3,3
12/4/2019,107,2019,12,4,3
12/5/2019,79,2019,12,5,2
12/6/2019,133,2019,12,6,3
12/7/2019,99,2019,12,7,2
12/8/2019,104,2019,12,8,3
12/9/2019,108,2019,12,9,3
12/10/2019,115,2019,12,10,3
12/11/2019,103,2019,12,11,3
12/12/2019,90,2019,12,12,2
12/13/2019,137,2019,12,13,3
12/14/2019,180,2019,12,14,4
12/15/2019,130,2019,12,15,3
12/16/2019,74,2019,12,16,2
12/17/2019,69,2019,12,17,2
12/18/2019,85,2019,12,18,2
12/19/2019,53,2019,12,19,2
12/20/2019,64,2019,12,20,2
12/21/2019,70,2019,12,21,2
12/22/2019,64,2019,12,22,2
12/23/2019,60,2019,12,23,2
12/24/2019,102,2019,12,24,3
12/25/2019,54,2019,12,25,2
12/26/2019,100,2019,12,26,2
12/27/2019,95,2019,12,27,2
12/28/2019,105,2019,12,28,3
12/29/2019,72,2019,12,29,2
12/30/2019,119,2019,12,30,3
12/31/2019,97,2019,12,31,2
1/1/2020,73,2020,1,1,2
1/2/2020,105,2020,1,2,3
1/3/2020,130,2020,1,3,3
1/4/2020,142,2020,1,4,3
1/5/2020,80,2020,1,5,2
1/6/2020,55,2020,1,6,2
1/7/2020,47,2020,1,7,1
1/8/2020,54,2020,1,8,2
1/9/2020,42,2020,1,9,1
1/10/2020,42,2020,1,10,1
1/11/2020,55,2020,1,11,2
1/12/2020,84,2020,1,12,2
1/13/2020,68,2020,1,13,2
1/14/2020,142,2020,1,14,3
1/15/2020,120,2020,1,15,3
1/16/2020,82,2020,1,16,2
1/17/2020,62,2020,1,17,2
1/18/2020,77,2020,1,18,2
1/19/2020,138,2020,1,19,3
1/20/2020,120,2020,1,20,3
1/21/2020,120,2020,1,21,3
1/22/2020,108,2020,1,22,3
1/23/2020,107,2020,1,23,3
1/24/2020,40,2020,1,24,1
1/25/2020,63,2020,1,25,2
